,sentence_reviews,Score,Class
1339, I liked it because of small size,4,Positive
1340, Only defeat with this mobile battery backup it will dry quickly,3,Positive
1341, But it can charge fast can be manageable for it employee because we can’t go anywhere longtime,3,Positive
1342,Great phone,5,Positive
1343," I always wanted a phone that can fit my pocket (in terms of size) and this slim, smart and handy phone is best from apple at reasonable price Good product",5,Positive
1344,Amazing masterpiece this,5,Positive
1345," Didn’t want to buy either of the bigger iPhones 11,12,13(out of the question) did some research and then got this",2,Negative
1346, and I’m loving it so far Classy Red colour and feels amazing to use it,5,Positive
1347,Everything is fantastic abt this phone except battery backup,5,Positive
1348, it hardly stays for half a day if u keep using it frequently… and fast charging is not so effective as some other models,2,Negative
1349,Good design feels good in hand performance is great only battery is small ,4,Positive
1350, it managing well somehow I need to charge it in the end of the day according to my usage,4,Positive
1351, And hope Apple would upgrade night mode camera in this device in upcoming update,5,Positive
1352, I Don't have any issue with screen size ,3,Positive
1353, it depends on the personal preferences,3,Positive
1354, I prefer compact phones,3,Positive
1355,This phone is good ,4,Positive
1356," not as good as iPhone 5s when we compare with that phone of its time, yet this is much upgraded with that now as up now ",3,Positive
1357, 5s is master piece,5,Positive
1358,The best phone ever,5,Positive
1359, I like small size mobiles & this satisfied me Best Phone 5*****Charging also full day with normal usage I don’t play games I use wallets & calls mostlyIt was the best iPhone 128gb ,5,Positive
1360,Camera quality is better and have 4k recording feature,3,Positive
1361, performance is faster ,3,Positive
1362, Better battery life in normal usage ,3,Positive
1363, Unable to add photos beacause im using it right now,1,Negative
1364,Awesome product from apple at a great price,5,Positive
1365, Superb performance and way better than any phone in this price range,5,Positive
1366," Do buy it in discounts, Kudos to Flipkart for amazing discount and early delivery",5,Positive
1367,"Very Good product I love my iPhone, it is very good I good deal and exchange my old phone",5,Positive
1368,"In today's bigger screen and higher refresh rate age of Android phones, it is going to be treated as small screen, lower battery etc",3,Positive
1369," But as a new entrant in apple eco system, it seems to be a good buy",4,Positive
1370, Bit tough to use after 8 years of feature phone use and another 8 years of Android use,4,Positive
1371, But love this challange,5,Positive
1372, 🥰❤️💖👌,5,Positive
1373,This phone is real value for money and I just got it for 29990If you give your old phone you can get it at much lesser price Just ensure you put a tough screen guard for top and a tough mobile cover which is slightly raised from the sides,5,Positive
1374,Everything is awesome in terms of the product and delivery time ,5,Positive
1375, The product was delivered within less then 24 hrs ,1,Negative
1376,the iPhone SE 2020 which I ordered came as per the expected delivery date and time ,5,Positive
1377, Now regarding the product its completely brand new with proper original packing and the feel of the mobile is awesome ,5,Positive
1378, If I talk about the performance overll its too good in other words fantastic ,3,Positive
1379,A very happy customer I am ,5,Positive
1380, Thank you Flipkart for this amazing product ,5,Positive
1381, Just wow ,5,Positive
1382,"Smart phone ante smart phone, masth smart ga undhi",5,Positive
1383, Colour aithe kiraak undhi,3,Positive
1384," Ma ammaku gift ichina, colour bagundhani masth Kushi aindhi",3,Positive
1385, Size chinnaga undhi anaru gani atlem ledhu,3,Positive
1386, Speed kuda masthundhi,5,Positive
1387, Photolu kuda masth osthunay,1,Negative
1388, Pettina paisalaku manchi phone ye vachindhi,1,Negative
1389, Apple ante 🍎 lekka ne undhi ,5,Positive
1390, Namasthe apple 🙏🏼🙏🏼🙏🏼,1,Negative
1391,"In your hand you can feel the build quality, it is small ",3,Positive
1392, powerful camera is so damn good only drawback is like other iPhones we are not getting night mode ,4,Positive
1393, In my point of view iphone is always iphone they wont compromise the product quality  for the cost cutting ,3,Positive
1394, Within the price range you cant find any android phone which is having these much features,3,Positive
1395, Im an android user for past 9 yrs initially  faced some issue ,3,Positive
1396, going on i used to it ,3,Positive
1397, If you dont have enough money to get larger i,3,Positive
1398,"I got 64 GB, product red",5,Positive
1399, it is very handy and ios 15 is stunning ,5,Positive
1400," considering battery if you are a heavy user this phone is not for you,   But for my usage its good",4,Positive
1401,"Camera is good, ",4,Positive
1402," it will detect only face in portrait not objects, obviously due to Apple’s new environmental policy they will not include charger in box",1,Negative
1403, Its compact at the same time its slippery too,3,Positive
1404, A13 bionic can handle games seamlessly ,5,Positive
1405, battery will drain fast,3,Positive
1406, There is no heating issues so far,4,Positive
1407, I installed all the,5,Positive
1408,"Firstly great thanks to flipkart for the offer price and also for the quick delivery and genuine productI have been an iphone user since almost 8 yrs now and wanted a secondary phone and I bought this, absolutely handy device and awesome in every way, battery life is also really great, no complaints 😊",5,Positive
1409,"Received my device in 48 hours, that too at a remote place",1,Negative
1410, This is my 3rd iPhone ( After iPhone 4S & iPhone 6),5,Positive
1411, Well…,5,Positive
1412, The device is slim & display is top notch,5,Positive
1413, Interface is super quick,5,Positive
1414, Camera is Ok,3,Positive
1415," But I ain’t disappointed since, I use iPhone for official purposes",3,Positive
1416, For photography my Samsung A50 is doing a terrific job,5,Positive
1417," Battery life, I feel, is better than previous iPhone 6",5,Positive
1418, What really disappointed me is 1) No charger came with the box,1,Negative
1419, Luckily I had my previous charger 2) No earphon,3,Positive
1420,This is a very special device with much comfortable in hand,5,Positive
1421," Cameras are very good compared to previous gen iPhones, just a major drawback is the battery",4,Positive
1422, Usually it gives 4 hours of SOT which is satisfactory,4,Positive
1423," Those who are planning to buy an iPhone which has good in hand feeling and nice cameras with super performance, then go for it",5,Positive
1424,This is what love looks like,5,Positive
1425,"Up to the mark, with performance and battery, and exceeds expectations with camera quality",5,Positive
1426," Superbly built, and given the fact I got this for 21k is surreal",5,Positive
1427,Absolute compact phone,5,Positive
1428,"those who need one handy phone,pls go for itPerformance at the best level Camera also good ,except night photographsVideo quality at the super level Battery up to mark as its 1821 mAh(screen on time:5 hours if not play BGMI or COD) Screen LCD panel still bright and colour Sound quality also the best Networks good(as i use airtel ,no issue at all)100% recommended",4,Positive
1429,"I’m a iphone xs user so, this is my secondary phone so I expected a good battery life since my xs has 88% battery life left ",4,Positive
1430, the thing is the battery is draining way to fast so I guess it didn’t solve my problem and the performance is excellent and the camera is not as good as xs ,3,Positive
1431, in this price range you get what you pay for and yaa i think it’s a great phone if you don’t use your phone as much as a gamer do,5,Positive
1432, I would suggest you to go for the iphone 12 mini as it not much of a price ,3,Positive
1433,It is a good phone at this price range and In my point of view as a apple lover if you have less budget you can purchase it i really loved it 🙂❤️,5,Positive
1434,"Just upgraded from iPhone 7 to iPhone SE 2020, Great features great camera great performance",5,Positive
1435,I needed a phone which would perform 1 like a beast when I use it 2 had a good camera which would last and 3 fits in one hand  ,3,Positive
1436, I ‘m a very limited user so this phone is perfect for me I use my iPad and for content consumption and work so choose according to your needs,5,Positive
1437,Clicks photographs like an entry level dslr,5,Positive
1438, Best for daily usage if you are not a heavy gamer,4,Positive
1439, Best in segment and class,5,Positive
1440,"Compact, powerful and elegant",5,Positive
1441, Decent camera and display for this price range with A13 chip,4,Positive
1442,Battery life is also okay for an average user,3,Positive
1443, A satisfied purchase from Flipkart,4,Positive
1444,Great value for money phone,5,Positive
1445," Coming from the big phones this was sleek, smooth elegant great comfortable to hold",5,Positive
1446, This is not for the heavy usage people because of the small form battery,3,Positive
1447, But a very decent battery for normal use like calls and whatsapp,4,Positive
1448, White color looks more premium and no ear piece and phone heating issue on long calls,2,Negative
1449, Nice phone and Flipkart service is also goods,4,Positive
1450,I'm writing this review after the usage of 6 months,1,Negative
1451, Its a classic product,5,Positive
1452, Performance is above our expectations and camera quality is awesome,5,Positive
1453, The most impressive feature about apple products is its stabiliy for longer periods,5,Positive
1454," Even after receiving numerous updates for the last few months, its stability ha not gone down unlike android phones",2,Negative
1455, The only disappointed fact with regard to SE2 is battery,4,Positive
1456, Really disappointing,2,Negative
1457, Else its a great phone with powerful chipset,4,Positive
1458, I recommend this phone,5,Positive
1459,Its a great phone in value for money,5,Positive
1460, Works fine with A13 chip,4,Positive
1461,  all good,5,Positive
1462,got it from 33k ,5,Positive
1463,Point to be considered,4,Positive
1464," It dont have face recognition , finger print works fine ",3,Positive
1465,Also with no headset no or usb charging cable coming,1,Negative
1466, One lighting cable and the phone will deliver only,1,Negative
1467, You have to change this from laptop or buy usb type charger cable and adapter later,5,Positive
1468,"This is my first iphone and its great !!! This phone is fast and smooth, Camera is par with iphone 11 except the wideangle ofc",5,Positive
1469, I am writing this review after 4 months and till now no major problem or anything just a con is the battery,5,Positive
1470, If you a couch potato and wants a phone for netflix and video streaming then this wont be the perfect choice for you,1,Negative
1471, The battery life is pretty good is your usage is less,3,Positive
1472, Pubg and other games run like ,5,Positive
1473,ter no lags no shutters just you wont be able to play ,1,Negative
1474,Amazing phone with very good performance,5,Positive
1475, Currently the best compact phone available in the market,5,Positive
1476, Worst part about the phone is its battery,1,Negative
1477," No matter if you are a heavy user or no, this phone needs to be charged atleast twice in a day",1,Negative
1478, Even if you dont use the phone for a full day it needs to be charged twice,1,Negative
1479, The 5W charger that they provide in the box is slower than a turtle,3,Positive
1480, It takes flat 2 hrs to fully charge,3,Positive
1481, Camera is good in good light condition in indoor camera is decent 2,4,Positive
1482, Performence is superb 3 ,5,Positive
1483, Look premium,5,Positive
1484,While we go deep in review we need to understand a fact that this phone is not for heavy users and for photo enthusiasts,3,Positive
1485,"night pictures are not up to mark, ",2,Negative
1486, that even apple isn’t claiming for this particular phone,1,Negative
1487,This phone is very light in weight and delivers very well for what it meant to be,5,Positive
1488,Things which I like about this phone:1,5,Positive
1489, Light in weight2,4,Positive
1490," Having A13 chip set, which delivers all task smoothly 3",5,Positive
1491, Cost effective phone to enter in apple eco systemIn the end while purcha,4,Positive
1492,"Great performance,great camera and fabulous product at reasonable price",5,Positive
1493, Thanks apple and Flipkart for fast and secure delivery,5,Positive
1494,If someone ask me for to make choices between iPhone and android phones I always choose iPhone onlyAbout IPHONE SE superb and fantastic who are looking for handy phone with 4,5,Positive
1495,"7 inch screen, with all the latest features and choices",5,Positive
1496,Light in hand it’s an Apple product which easily outperforms any and all of its contenders,5,Positive
1497, Packed with all the features it introduces the concept of esim in dual sim with one physical and other esim activated through network provider,5,Positive
1498, It takes just 2 hrs for activation and SMS after 24 hrs,1,Negative
1499, Bandwidth performs slightly better compared to physical one,3,Positive
1500, Image quality is always best and gaming rendering is perfect without lag,5,Positive
1501, Storage and app availability is also good,4,Positive
1502, Not to mention the Audio q,1,Negative
1503,One of the best mobile with fantastic camera really loved it ,5,Positive
1504, coming to display size and battery backup just little bit disappointed rather then this iPhone se simply good 😍,4,Positive
1505,Best iPhone at this price range,5,Positive
1506, If u want handy iphone with best processor,5,Positive
1507, Then it will suits for u,3,Positive
1508,Wow worth for money for this price I still use this last 4 months superb performance Great quality I dropped many time no damage in body and display thank u iphone and Flipkart,5,Positive
1509,"If you are not into playing games on mobile, then this is the best phone",5,Positive
1510, Quality is amazing,5,Positive
1511, Each and every component is premium whether we talk about camera or even microphone,5,Positive
1512, Most people don’t realise the amount of tiny compromises made by Android phones to reduce cost,2,Negative
1513, iPhone is expensive because it doesn’t compromise on quality even for things that people barely notice,2,Negative
1514, And the best part is that you will continue to receive free OS updates for at least 5 years,4,Positive
1515,A powerful beast ,5,Positive
1516, iOS is smooth as always,5,Positive
1517," Camera is wow , you can use this as portable camera for your road trips , size is just perfect ",5,Positive
1518," Everything is fine from my side , I will update regarding the battery backup after using few months ",4,Positive
1519,Absolutely fantastic product for the price,5,Positive
1520," It's handy, good for people who prefer small phones",4,Positive
1521, I love the performance,5,Positive
1522,"I'm no one to review this product, since as everyone knows it's APPLE and they maintain the quality as usual",5,Positive
1523," The feedback I can give on this is regarding Flipkart, the package was good, delivery was fast & safely handed over the product",4,Positive
1524,Adding some personal feel-good points;-1,4,Positive
1525, Pure piece of tech art2,5,Positive
1526," Red color is something really needs to look, touch n feel3",5,Positive
1527, freaking handy [better to use a case to maintain that look for long]4,4,Positive
1528, Not recommended for hardcore phone addicts when consid,2,Negative
1529,"Don't wait too much to think , just go for it if you have this in mind",3,Positive
1530, Yes it's a compact device and if you have been using phones with big display then it may feel tiny at first ,3,Positive
1531, you would get used to it,3,Positive
1532, A13 bionic is a charm and this brings out camera performance out if the older hardware that this phone has,5,Positive
1533, It's a hybrid beast of a device and can suffice any day to day task,5,Positive
1534, Yes if your intention is heavy gaming then the battery won't last long as it's tiny body holds a small capaci,3,Positive
1535,"Display, Performance, Handling is awesome",5,Positive
1536,Onle two issues you have to mahe with:-Continuous use of phone will drain out battery very fast,2,Negative
1537,"Camera performance in good light condition is awesome, it's unbeatable",5,Positive
1538, But in low light you will not get such performance,3,Positive
1539, Otherwise it's an awesome product,4,Positive
1540,Battery standby performance is awesome,5,Positive
1541," As I go to office, after charging it 100% at 08:30 am, battery after 12 hours stays at around 50% in normal usage",2,Negative
1542, However coming back home and then using fo,3,Positive
1543,All are well Good and much better than 11 ,5,Positive
1544,,4,Positive
1545, battery backup is too bad,2,Negative
1546, I give this rating after 3 months,1,Negative
1547,"Its small,sleek and handy",4,Positive
1548, Powered by A13 bionic,5,Positive
1549, So this one is a performance beast in a small body,3,Positive
1550," When it comes to design,its same as iphone 8 ",3,Positive
1551, the internals are quite different,3,Positive
1552, It has only one wide angle camera ,2,Negative
1553, that one is great,5,Positive
1554, The display is an ips retina display which is not bad,4,Positive
1555, The main drawback is the battery,3,Positive
1556, This phone has 1821mah battery which is too small,3,Positive
1557, If you are a hardcore user then it wont last for a day,2,Negative
1558, And this phone is Ip67 rated and supports wireless and fas,5,Positive
1559,"Upgraded from 5s, feeling great while using it the touch is smooth and iOS blends perfectly with the hardware",5,Positive
1560,Great Product In terms of Camera and Processing the image The A13 Bionic chip does its job Great The battery could be better,5,Positive
1561, Overall great product,5,Positive
1562,nice product,4,Positive
1563,just be cautious to use the phone judiciously ,5,Positive
1564,in general with light gaming i am getting around a full day with 30% battery left,3,Positive
1565,mostly use it as my primary non-gaming  purpose,3,Positive
1566, love the size,5,Positive
1567,fits well unlike a 6 inch phone,4,Positive
1568,I prefer small phones so this was the perfect choice and the rate at which it was available made it possible for me to buy my first iPhone,5,Positive
1569, Thanks to Flipkart for providing such amazing offer,5,Positive
1570,The phone is very fast and smooth never gave me any issue the battery is on low side ,2,Negative
1571, camera to gaming all are on top of the line for casual people you don't need a dslr this phone can take some great photos and videos,5,Positive
1572,i love it just amazing in every field,5,Positive
1573, those who love small and powerful phone they can go for it,5,Positive
1574, superb performance,5,Positive
1575,its really good especially the red colour,4,Positive
1576," among 2 variants of 64 gb and 128gb , i will recommend for 128 gb unless it is not for elderly people",4,Positive
1577, It is much cheaper as compared to IPhone 11 and 12 though u get almost everything ,3,Positive
1578,I loved it,5,Positive
1579," This phone gives a sense of luxury, security, and good worth of money",5,Positive
1580, Highly recommend this one,5,Positive
1581," Surprisingly the size of it is perfect, never thought it ",5,Positive
1582, it is just perfect,5,Positive
1583, Only one con i,1,Negative
1584,e battery performance is just average will give you 4-5 hrs of SOT ,3,Positive
1585, it has a great stand-by time,5,Positive
1586, Go for it!,5,Positive
1587,Phone reached me safely,5,Positive
1588, Packaging was nice,4,Positive
1589, Happy with the seller’s integrity,5,Positive
1590, A Mighty handy phone for everyday use,5,Positive
1591, Battery is on the lower side and hardly needs a charge every evening depending on the usage,3,Positive
1592, Otherwise A class,3,Positive
1593,"Most affordable classy phone in the market , I bought this product red for my mother and this color enhanced the glamour of the person holding it",5,Positive
1594,I am writing this review after few days of use so it is just awesome,5,Positive
1595, Camera quality is not satisfactory as the video made by this phone are yellowish in colour as compared to other phone videos,2,Negative
1596,Speed is just awesome as A13 Bionic chip is there,5,Positive
1597,     Battery is 1800 mAh so it doesn’t last long as iPhones are not made for long lasting batteries ,3,Positive
1598, they are light in weight and high performance with no problem of hang,5,Positive
1599,I used my Iphone 6s for 4 years 8 months so I expect this one to last ling ,5,Positive
1600,Excellent investment if you want to experience ios at such a low price with flagship features,5,Positive
1601," If you love classic phones, it is just made for you",5,Positive
1602, You can do everything in this phone,5,Positive
1603," Battery is not so good, ",2,Negative
1604," if you are not a heavy user, it will work for you",4,Positive
1605, Camera is excellent as compared to other android phones ,5,Positive
1606, not as good as other iphones,3,Positive
1607, It will feel glossy in your hands,3,Positive
1608, And rest all the features are just brilliant,5,Positive
1609,I’ve been using this iPhone since last 6 months previous to this I was using iPhone 7,5,Positive
1610, It is the awesome phone without a doubt,5,Positive
1611," But if you want a bigger screen you’re not going to enjoy this, if you want a compact and comfortable screen this is the phone to purchase",3,Positive
1612,"Overall it’s a good mobile for daily usage, those who like compact phone and don’t not play much games and don’t watch much movies can buy this phone as battery and small screen are concern",4,Positive
1613,"If you like to use a premium phone, solid buildup design and processor then don’t give it a second thought",3,Positive
1614, It’s so gooood I love it!!! There is no comparison between android and apple,5,Positive
1615,This is my first iPhone and I start this journey with best technology A13 bionic chip with a economical budget it's fantastic and I always keen to use Apple technology in future,5,Positive
1616, Worthy,5,Positive
1617,It’s a very fast usable with one hand it’s camera is also very nice it can shoot videos up 4K 60 FPS if it’s battery would be bigger it would be an ideal phone,4,Positive
1618,such a really nice phone ,5,Positive
1619, is this only undar 30k best its value is only 30k is ok more than not good,2,Negative
1620,"Writing the review after 6 months usage--no lags, battery is good for one day usage",4,Positive
1621,"-not for gaming-u get good  📷 Next powerful after 7, 8 with latest processor",2,Negative
1622,"It’s just better if u want to upgrade from 6s or later, like I did",3,Positive
1623,Amazing product from apple and got at a special price during the Republic day sale on Flipkart Pros:Fast processorSuperb CameraPremium fit and FinishHassle free interfaceBloatware free (its IOS)Cons:None except for short battery life ,5,Positive
1624, still people will like it and better than any other phones in this price range,4,Positive
1625,"There you have a youngest phone of the apple family in term of price ,",5,Positive
1626, this little champ is very weak in term of battery life otherwise SE is good to go for any fight because it got the right genes As an secondary phone this will work best otherwise carry an powerbank with you,3,Positive
1627,Iphone doesn't need any major review as it's already a pioneer in its own field,3,Positive
1628," However qeith Iphone SE, this works well for those who have tight budget and can't afford high end iphones",3,Positive
1629," Works well for single hand usage, quite good screen to body ratio and latest processor (iphone 11)",5,Positive
1630, Will not disappoint anyone who would like to go for iphone,5,Positive
1631,A good phone I say ,4,Positive
1632, not the best As battery life is not at all to the apple standard,2,Negative
1633, Otherwise value for money if available during offer period,3,Positive
1634,"Awesome phone, small and handy, I got it for just 21,500 with exchange ",5,Positive
1635,so it was a great deal,4,Positive
1636,"performance is top notch ,display is at its best, ,sound quality is good,camera is at its best with great video recording at 4k 60 fps and portrait mode is also goodOnly problem that I found was that iPhone starts vibrating when speakers are in use ",3,Positive
1637,Overall its good ,4,Positive
1638,go for it guys,5,Positive
1639,It’s been almost a week since I’ve started using the phone and it’s pretty impressive for the specs it gets,5,Positive
1640, I upgraded from the 6 which happens to have the same battery as this one ,5,Positive
1641, the phone has been lasting a complete day easily and definitely way more than my 6 did when I bought it,5,Positive
1642," Coming to the highly complained 1821 mAh battery, I charge it in the morning around 9 and it has 20% left before I go to bed",1,Negative
1643," Then again, it’ll vary from user to user",3,Positive
1644,The iOS experience along with the A13,5,Positive
1645,"I bought it for 26k during sale, so it was a good deal",4,Positive
1646, These are the pros and cons which I listed after using it for 2 months,5,Positive
1647,Pros1,5,Positive
1648, Good Camera,4,Positive
1649, Incredible performance,5,Positive
1650, Water and dust resistant,5,Positive
1651, Tells your usage time,4,Positive
1652, Handy to use,4,Positive
1653,Cons1,5,Positive
1654, Pathetic battery(android phones with price < 6k have outstanding battery)2,1,Negative
1655, Takes too long for charging(1,2,Negative
1656,5 hr from 0 to 100)3,5,Positive
1657," No physical slot for second sim card, it has esim feature",2,Negative
1658, (Not all service providers give this facility)4,4,Positive
1659,"I always wanted to buy an iPhone, to myself experience the Hype surrounding it",5,Positive
1660," Finally, I bought it during the Big Billion Days Sale on Flipkart & below are my observations after using it for almost 3 months",5,Positive
1661,"1) Sound: If you not using any earphones, headphones or any other Bluetooth Devices for getting Sound output, then Sound output of the Mobile in use plays a very important part",4,Positive
1662," While on a call in a noisy Environment & having patchy Network, it becomes very difficult to have a proper c",2,Negative
1663,My dream phone,5,Positive
1664, When I was in college in year 2015 most of my friends who had “rich parents” had iphones and I always dreamed of owning one,5,Positive
1665, In fact that time I just had the nokia push ,3,Positive
1666,ton old phone which wasn’t even a smart phone,3,Positive
1667,With the blessing of my mother and the support of my brother I was able to fulfill this dream of owning an iPhone,5,Positive
1668,I am not an expert of mobile ,2,Negative
1669, I am grateful to flipkart and its seller for providing great discount so that it became affordable for common peo,5,Positive
1670,Apple is Apple,5,Positive
1671, One can not compare its performance and class with any android phone,3,Positive
1672, Apple phone is only comparable to another apple phone only,3,Positive
1673, Loved this phone,5,Positive
1674, Superb finish of the Product Red,5,Positive
1675, Feels very premium in the hand and its performance is awesome though one can not compare to iPhone’s latest models,4,Positive
1676, This is the perfect phone for small to medium sized screen lovers,5,Positive
1677, And hats off to Flipkart for such deals,1,Negative
1678,If you want a compact and handy phone ,3,Positive
1679,just go for it,5,Positive
1680, I boight it for its size,3,Positive
1681, Battery backup is decent considering the size and performance,3,Positive
1682, Value for money,5,Positive
1683,Best budget phone for proffessional user,5,Positive
1684,It is best suitable phone for isers who don’t use phone for gaming,4,Positive
1685,It gives me a full day battery life with continuous 4g On,5,Positive
1686,Pros:1,5,Positive
1687, Top notch performance2,5,Positive
1688, Very good display3,5,Positive
1689, Pretty handy in size4,4,Positive
1690, Beautiful design5,5,Positive
1691, Battery is far better than 1st Generation SE,5,Positive
1692," Just do the following when you get the device, Enable power save mode, disable background refresh",3,Positive
1693, You can happily use the back up more than a day,5,Positive
1694, You can charge the device 60-70% in an hour with 5W charger,5,Positive
1695, Pretty decent,3,Positive
1696, When you get the device first thing to do is update the IOS from 13,1,Negative
1697,6v to 14,5,Positive
1698, You will definitely feel the difference ,5,Positive
1699,"This is my first iPhone, switched over from android and I am using this phone for a month now",5,Positive
1700,"So here are some things I found, as an overall product is it very good, if you like small phones like me",3,Positive
1701,Now talking about Pros:1,5,Positive
1702, Good build quality,4,Positive
1703," Very fast processing, the best I have ever seen",5,Positive
1704, Very Good Camera Quality,5,Positive
1705, Water Resistance IP67 Certified,5,Positive
1706, Support wireless charging and fast charging,5,Positive
1707, Stereo speakers with good sound quality,4,Positive
1708, Easy to use with one hand and you can,5,Positive
1709,I am hard-core android user recently i used redmi note 5pro and it has 4000mah battery and its battery life is goodAnd after using iphone se i am shocked its battery is good and performance is best in class and i used OnePlus also believe me OnePlus and any android never replace a iphone iPhone is iphone in all point Camera is bestPerformance is best in classDisplay is small ,4,Positive
1710, its okayBattery is also good,4,Positive
1711,"The phone is brilliant however the battery performance is not great Max 1 day battery life for a normal usage Highly not recommended for gaming Camera is good The interface reminds of old iPhones Value for money Ppl looking for small compact phone, this the best phone however need to compromise with the battery",3,Positive
1712,"This is my 2nd iPhone after 6years came back with excitement & here it is SE it’s simply clever, for excitement this right treat for me",5,Positive
1713,My 1st IPhone 5s gifted from my sweet heart for cross 1st year after my lover came wife she gifted for my 1st anniversary,5,Positive
1714,"I love small screen phone 5s, 5se, 6, now 2020 SE comes with everything into in small phone except battery 😔 Apple can put better battery capacity for SE ",5,Positive
1715, ok it’s shoots for everyone except for gamers,3,Positive
1716, It’s fits into your budget & p,5,Positive
1717,Flipkart took 2 weeks to deliver the product,1,Negative
1718," Never mind, the phone is really good,compact",5,Positive
1719," The charge drops a bit fast ,for heavy users it should last for a max of 6-7 hours",3,Positive
1720, Rest everything is just top notch,5,Positive
1721, Best budget buy,5,Positive
1722,Super,5,Positive
1723,Awsm phone,4,Positive
1724,Thanks 😊 flipkart A1 performance 🤩Camera quality is great 😌 like dslr photo,5,Positive
1725,Good performance,4,Positive
1726,Perfect phone I love it,5,Positive
1727,Superb,5,Positive
1728,Good product ,4,Positive
1729, not great,2,Negative
1730,A powerful beast ,5,Positive
1731, iOS is smooth as always,5,Positive
1732," Camera is wow , you can use this as portable camera for your road trips , size is just perfect ",5,Positive
1733," Everything is fine from my side , I will update regarding the battery backup after using few months ",4,Positive
1734,Awesome,5,Positive
1735,Good phone,4,Positive
1736,Iphone se is amezing,3,Positive
1737,Everything is good ,5,Positive
1738, sometimes phone heats up fast,3,Positive
1739,Android to iOS,5,Positive
1740,love itPerformance loaded phone,5,Positive
1741,Except the battery life phone is pretty good for the price tag,3,Positive
1742,Battery is not long lasting and the phone gets heatup during charging,2,Negative
1743,Very good,5,Positive
1744,All is good except the battery,4,Positive
1745,Nice  product in low buget from Apple Store,4,Positive
1746,I used iPhone X and 11 bt I can’t get Comfort while useing bt se 2020 is most Comfortable and beautiful phone I like it  phone should be like se,5,Positive
1747,The phone could be the best in segment if equipped with a turbo or wireless charger and Bluetooth EarPods,4,Positive
1748, It gives a premium feel with a compact 4,5,Positive
1749,7” design and Super fast processor,5,Positive
1750,Great product as usual,5,Positive
1751, Good for a days use,4,Positive
1752, Need a fast charger with it to get the best performance in short time,4,Positive
1753, There’s nothing to complain except battery performance,4,Positive
1754,Everything is fine except battery,4,Positive
1755, I’m not an pubg player so I can’t Specify the performance on basis of pubg,3,Positive
1756, But I didn’t find any lag or slowness in this phone,3,Positive
1757, Main point of this phone is,3,Positive
1758,- very thin and slimYou will love it when you will start using it,3,Positive
1759,I think only drawback is it’s battery,4,Positive
1760, If the battery was good,3,Positive
1761, It  was best,4,Positive
1762, But anyway we can not expect that much battery backup from apple,3,Positive
1763,I think apple should do more work on battery at least make it on the mark,3,Positive
1764,I bought it aft,5,Positive
1765,It’s a good product overall,4,Positive
1766, slightly overpriced,3,Positive
1767, battery is really bad,1,Negative
1768,doesn’t last long,2,Negative
1769,"Performance wise good, fast ",4,Positive
1770, Superb camera pixel quality very good even with zoomed photos,5,Positive
1771,Good specs at best price I’ve Recently upgraded from iPhone 8 to iPhone se and I would say this is a great upgrade and worth,5,Positive
1772, This new SE phone great at performance and quality,5,Positive
1773,Nice I phone  small compact and light weight,4,Positive
1774, processor is too good and as usual headphone quality awesome Nice packing ,4,Positive
1775, thanx Flipkart for great service,5,Positive
1776,pretty awesome phone ,5,Positive
1777, loved its compact style and performance ,5,Positive
1778,Mobile is working awesome fast and smooth,5,Positive
1779, Camera is very awesome ,5,Positive
1780, problem is only size of mobile displayBut over all I’m very happy with phone,3,Positive
1781,I have been using iPhone earlier as well,3,Positive
1782, This one is more brilliant phone with high performance speed and i love the perfect size of the phone,5,Positive
1783,The rumors about this phone of its low battery backup are fake,1,Negative
1784, It provides the best battery backup and lasts a full day with light use like Instagram and WhatsApp,5,Positive
1785, The performance of this phone is the best compared to android phones at this price range,5,Positive
1786, And with the iOS 14 update the iPhone SE is the star of the show ,5,Positive
1787, And there are no such noticable differences between the SE and the 12,2,Negative
1788,Switched from iPhone 6 to iPhone SE 2020,5,Positive
1789,"Never wanted the big sizes, this is the best option as a beast in a small shell",5,Positive
1790,Battery backup is fine which is around 6 hours in a single charge with dual sim,4,Positive
1791,Other all functionalities are excellent as expected,5,Positive
1792,"In a short note, giving 9 on 10 for this product",5,Positive
1793,Exilent phone😀😀,1,Negative
1794,Only good thing about this phone is its processor,3,Positive
1795,What is the use of good processor if you ve average camera below average screen size,3,Positive
1796, I ve not udapted to new software ,3,Positive
1797, the UI is not that friendly with the present software version,3,Positive
1798, You ll get very good Android phone for the same price,5,Positive
1799, Or if you can shell out extra bucks then go for higher version of iPhone,3,Positive
1800, This is not worth it,1,Negative
1801,From a first time iOS user I am using Pixel 4a and I got this phone for my wife,5,Positive
1802," Very smooth experience, quite different then regular android and marginally better then Pixel's",4,Positive
1803,"Camera quality is quite good, even in comparison to Pixel, ",4,Positive
1804, I believe it's mostly because of its punchy colours,3,Positive
1805,Layout/Usability/UI is quite different and it's taking some time to get used to it,3,Positive
1806,"Hardware is very premium, better then my existing pixel 4a",3,Positive
1807,Functionality and Customization wise I find it lackin,3,Positive
1808,Iphone SE 2020 is the best iphone,5,Positive
1809, I had iphone6 so i am used to this size and this screen size is perfectly fine and handy as well and light weight,5,Positive
1810, Very happy with this buy,5,Positive
